round_id,crashed_at,total_bank_usd,users_count,start_at,profit_loss
6964101,1.25,248.69,59,2025-09-01T05:50:46.323400+00:00,179.2524
6964102,1.12,202.62,54,2025-09-01T05:51:02.390600+00:00,202.62
6964103,1.0,212.73,59,2025-09-01T05:51:17.094300+00:00,212.73
6964104,1.42,301.8,46,2025-09-01T05:51:30.386200+00:00,206.6213
6964105,1.09,207.56,54,2025-09-01T05:51:48.029200+00:00,207.56
6964106,1.31,248.62,67,2025-09-01T05:52:02.329200+00:00,170.7511
6964107,1.89,257.09,68,2025-09-01T05:52:18.964500+00:00,68.1002
6964108,1.62,197.18,56,2025-09-01T05:52:40.228100+00:00,33.3618
6964109,6.4,195.9,47,2025-09-01T05:52:59.544800+00:00,-185.5692
6964110,4.88,242.02,47,2025-09-01T05:53:36.011200+00:00,-182.9161
6964111,1.0,208.56,57,2025-09-01T05:54:09.018900+00:00,208.56
6964112,1.45,200.63,51,2025-09-01T05:54:22.282800+00:00,109.2995
6964113,1.0,236.42,55,2025-09-01T05:54:40.093400+00:00,236.42
6964114,1.39,227.51,53,2025-09-01T05:54:53.302900+00:00,111.9964
6964115,1.33,181.81,47,2025-09-01T05:55:10.667400+00:00,133.192
6964116,1.0,298.61,60,2025-09-01T05:55:27.428500+00:00,298.61
6964117,1.0,251.44,56,2025-09-01T05:55:40.700800+00:00,251.44
6964118,4.32,257.78,67,2025-09-01T05:55:53.952700+00:00,-182.1168
6964119,1.05,195.18,59,2025-09-01T05:56:25.458300+00:00,184.1003
6964120,2.31,190.34,45,2025-09-01T05:56:39.267600+00:00,-21.9201
6964121,3.27,282.2,69,2025-09-01T05:57:02.996100+00:00,-108.5973
6964122,1.18,189.76,49,2025-09-01T05:57:31.081800+00:00,162.502
6964123,1.05,259.45,66,2025-09-01T05:57:46.339600+00:00,259.45
6964124,4.0,227.55,61,2025-09-01T05:58:00.165800+00:00,-200.4877
6964125,1.17,237.94,63,2025-09-01T05:58:30.786700+00:00,233.144
6964126,2.52,199.93,47,2025-09-01T05:58:45.936000+00:00,-96.4801
6964127,3.86,206.66,59,2025-09-01T05:59:10.726100+00:00,-144.1454
6964128,1.2,229.58,51,2025-09-01T05:59:40.899300+00:00,139.4924
6964129,1.64,212.49,48,2025-09-01T05:59:56.313600+00:00,28.3884
6964130,4.97,242.31,56,2025-09-01T06:00:15.738000+00:00,-166.0922
6964131,1.0,253.96,61,2025-09-01T06:00:49.057100+00:00,253.96
6964132,4.0,192.45,45,2025-09-01T06:01:02.356000+00:00,-107.4691
6964133,2.81,162.53,42,2025-09-01T06:01:32.968200+00:00,-50.3885
6964134,1.0,254.85,49,2025-09-01T06:01:59.088300+00:00,254.85
6964135,30.27,394.24,81,2025-09-01T06:02:12.308300+00:00,-366.7362
6964136,5.97,136.03,36,2025-09-01T06:03:08.275900+00:00,-117.3958
6964137,2.69,267.79,57,2025-09-01T06:03:43.836700+00:00,-42.5471
6964138,1.0,154.29,35,2025-09-01T06:04:09.380200+00:00,154.29
6964139,1.0,335.57,60,2025-09-01T06:04:22.561600+00:00,335.57
6964140,2.19,272.22,67,2025-09-01T06:04:35.851200+00:00,-14.3396
6964141,1.0,228.57,48,2025-09-01T06:04:58.850900+00:00,228.57
6964142,4.45,401.42,75,2025-09-01T06:05:12.078100+00:00,-207.7192
6964143,1.16,169.54,41,2025-09-01T06:05:44.043700+00:00,138.3831
6964144,7.74,264.91,61,2025-09-01T06:05:59.132600+00:00,-266.4462
6964145,1.05,195.09,48,2025-09-01T06:06:38.009800+00:00,187.6035
6964146,2.36,346.32,62,2025-09-01T06:06:51.817200+00:00,-5.1495
6964147,3.82,178.11,46,2025-09-01T06:07:15.725400+00:00,-137.8606
6964148,1.02,232.76,50,2025-09-01T06:07:45.737900+00:00,229.8411
6964149,3.69,344.61,64,2025-09-01T06:07:59.253900+00:00,-186.2179
6964150,1.63,232.1,57,2025-09-01T06:08:28.815400+00:00,-2.8265
6964151,9.57,193.2,40,2025-09-01T06:08:48.073200+00:00,-184.5787
6964152,6.84,182.63,44,2025-09-01T06:09:29.634200+00:00,-204.3449
6964153,2.37,224.42,50,2025-09-01T06:10:07.001100+00:00,-50.5193
6964154,5.51,253.62,55,2025-09-01T06:10:31.012300+00:00,-157.2751
6964155,1.44,147.34,39,2025-09-01T06:11:05.537100+00:00,94.2597
6964156,1.46,178.08,38,2025-09-01T06:11:23.325700+00:00,41.1623
6964157,1.0,164.18,42,2025-09-01T06:11:41.218800+00:00,164.18
6964158,1.06,313.53,64,2025-09-01T06:11:54.414700+00:00,297.8466
6964159,1.25,376.78,77,2025-09-01T06:12:08.422600+00:00,180.4992
6964160,1.28,236.01,47,2025-09-01T06:12:24.512900+00:00,113.4493
6964161,1.4,236.19,50,2025-09-01T06:12:40.811900+00:00,152.5269
